slug,title,poster_filename,logline,genres,countries,year,runtime,trailer_url,territories,where_to_watch,rating,subtitles_available,localized_versions,licence_expiry,poster_link_pcloud,release_date,amazon_com_url,tubi_url,amazon_co_uk_url,fawesome_url,keywords_tags,director,producers,writer,cast,imdb_link
love-evolving,Love Evolving,poster.png,"An anxious woman navigates the bustle of modern day Cairo to find her missing lover, a young adult strives for an authentic connection in a future society numbed by alcohol, and two Cold War-era lovers face the consequences of finding romance across political borders. A vibrant collection of short films - by turns gritty and dreamlike - exploring the changes and complexities of a Love Evolving.",LGBTQ+; Drama; Arthouse; Science Fiction; Fantasy,"Estonia, Israel, Uruguay, Portugal, Belgium",2023,109 min,https://www.youtube.com/watch?v=YEdOzZs8hts,Worldwide,Amazon Prime,R,"English, German",German,2027-01-12,https://e.pcloud.link/publink/show?code=XZ0SPGZDDSa2Ld1UP0X3aex3CWY30wGjTjk,2023-01-12,https://www.amazon.com/gp/video/detail/B0B6S97ZKK,https://tubitv.com/movies/100007374/love-evolving,https://www.amazon.co.uk/gp/video/detail/B0B6S9VWT4,https://fawesome.tv/movies/10530029/love-evolving,"LGBTQ+, Lesbian, Female Lead, Sci-Fi, Period Films, Missing Person, Estonian Cinema","Beau Han Bridge, Guillermo Trochon, Noam Greif, Gwenn Joyaux, Vincent Annen, Pauline Beugnies","Laurence Buelens, Florencia Chao; Sol Infante, Vincent Annen, Beau Han Bridge, Amit Hershkovitz, Shruti Sidhan","Beau Han Bridge, Guillermo Trochon, Noam Greif, Ana Falcon, Naomie Margot, Vincent Annen, Pauline Beugnies","Fiorella Bottaioli, Camila Vives, Irit Sheleg, Naama Amit, Mira Gaydarova, Daryna Butryk, Mélanie Carrel, Reem El Maghraby, Amina El Banna, Claire Beugnies",https://www.imdb.com/es/title/tt26340605/
enchanted-hearts,Enchanted Hearts,poster.png,"Two high schoolers experiment with the means and ways of traditional witchcraft, a bride with a secret has second thoughts on her wedding day, and a loving couple quietly prepares their family for the cataclysmic event to come. Six spellbinding stories about private passions, stolen moments and the bonds we form when the world isn't looking.",LGBTQ+; Drama; Coming of Age,"Greece, Brazil, United States, Philippines, New Zealand, Finland",2023,93 min,https://www.youtube.com/watch?v=Sl93lzJheic,Worldwide,Amazon Prime,R,English,German,2027-04-08,https://e.pcloud.link/publink/show?code=XZMSPGZt3NT1YsMdlXk07XaRWpYK0tAzSey,2023-04-08,https://www.amazon.com/gp/video/detail/B0CD323MLK,,https://www.amazon.co.uk/gp/video/detail/B0CD327KM7,https://fawesome.tv/movies/10556509/enchanted-hearts,"LGBTQ+, Lesbian, Coming of Age, Bullying, Witchcraft, Apocalypse, Greek Cinema","Juulia Kalavainen, Steven Chow, Cole Stamm, Shoshana Rosenbaum, Yasmin Guimarães, Phaedra Vokali","Orestis Plakias, Yasmin Guimarães, Robin Noonan-Price, Brandon Greene, Steven Chow, Jenni Pulli","Saara Honkanen, Steven Chow, Cole Stamm, Liz Maestri, Yasmin Guimarães, Phaedra Vokali","Minea Lång, Reetta Koskinen, Julia Hyde, Claire Van Beek, Sarah Salazar, Marie Angeli Bayani, Meghan McCall, Marni Penning, Maria Leite, Mônica Maria, Froso Papadopoulou, Flomaria Papadaki",https://www.imdb.com/es/title/tt28498049/
these-untold-secrets,These Untold Secrets,poster.png,"A mother-son reunion awakens old feelings of loss and remorse, a gay man and a lesbian woman navigate a marriage of convenience in the city of Paris, and an old college buddy crashes on the couch of a young author, oblivious to the emotions he stirs up in his friend. All is not as it seems in this impactful collection of shorts exploring private passions and hidden pasts.",LGBTQ+; Drama; Romance,"United States, France, United Kingdom",2023,99 min,https://www.youtube.com/watch?v=ay3GUFi-hrU,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2027-03-02,https://e.pcloud.link/publink/show?code=XZyjPGZjbwO9LP6LOpHJvXJHv6O1RwRXYnX,2023-03-02,https://www.amazon.com/gp/video/detail/B0B772M4M2,https://tubitv.com/movies/100015261/these-untold-secrets,https://www.amazon.co.uk/gp/video/detail/B0B773BPGM,https://fawesome.tv/movies/10558825/these-untold-secrets,"LGBTQ+, Gay, Family, Grief, Marriage, Sexual Assault, Trauma, American Cinema","Christine Parker, Zicheng Li, Wei Zhao, Chloe Potamiti, Yorgo Glynatsis, Sara Wolkowitz, Robert Ian Simpson","Sophia Betz, Yorgo Glynatsis,, Iris Pan, Cindy Wu, Christine Parker","Christine Parker, Zicheng Li, Wei Zhao, Yorgo Glynatsis, Chloe Potamiti, Robert Ian Simpson","Barney Glover, Peter Eyre, Laze, Nic Tom, JoJo Wang, Kun Tang, Yorgo Glynatsis, Ethan Slater, Devin McDuffee, Betsy Aidem",https://www.imdb.com/es/title/tt26670489/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_These%20Untold%20Secrets
frisky-business,Frisky Business,poster.png,"An anxious young drag queen searches for a way out before a revealing news story hits the airwaves, two silent strangers wander out into the night in a city under curfew, and a lively summer camp seeks to rid the youths of America of their sinful heterosexual desires. A defiant collection of shorts exploring passion, persecution and revolt from eras past, present and future.",LGBTQ+; Drama,"Netherlands, United Kingdom, Chile, United States, Taiwan",2023,92 min,https://www.youtube.com/watch?v=_UwtPGfW4cM,Worldwide,Amazon Prime,R,"English, English HOH, German",German,2027-03-03,https://e.pcloud.link/publink/show?code=XZczvGZVt9am5wcR8079lrdBKjb0HgOze97,2023-03-03,https://www.amazon.com/gp/video/detail/B0B7BNRJWG,https://tubitv.com/movies/100005186/frisky-business,https://www.amazon.co.uk/gp/video/detail/B0B7BP3Q7K,https://fawesome.tv/movies/10553112/frisky-business,"LGBTQ+, Gay, Activism, History, Prejudice, Homophobia, Dutch Cinema","Weng Yu-tong, Mark Marchillo, Ignacio Juricic Merillán, Pedro Rilhó, Tom Bakker","Rogier Kramer, Carmen Pop-Tiron, Mariana Tejos Martignoni, Gabriel Oliva, Pei-Ling Yang","Gabriel Oliva, Weng Yu-tong, Ignacio Juricic Merillán, Pedro Rilhó, Tom Bakker","Chih-han Chang, Lee-fong Huang, Maria Pallas, Gabriel Oliva, Catalina Vásquez Cristi, Andrew Bargsted, Olivia Nakintu, Oliver Wellington, Lars Brinkman, Thor Braun",https://www.imdb.com/title/tt27728541/
to-speak-her-mind,To Speak Her Mind,poster.png,"A teenage animal rights supporter harbors feelings for her fellow activist, an aspiring artist hones her craft on the subway routes of Rio de Janeiro, and two young women contemplate a pivotal decision on the shores of 19th century Britain. An anthology of female-focused stories about finding your voice, living your truth and learning to persist in the face of hardship.",LGBTQ+; Drama,"United Kingdom, Israel, Germany, Brazil",2023,90 min,https://www.youtube.com/watch?v=i6omCFtKdjM,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,30/05/2027,https://e.pcloud.link/publink/show?code=XZnLvGZLSr53uFWTVjS9744H3RdrmNcQUsy,2023-05-30,https://www.amazon.com/gp/video/detail/B0BZMH844M,https://tubitv.com/movies/100011870/to-speak-her-mind,https://www.amazon.co.uk/gp/video/detail/B0BZMGL6F5,https://fawesome.tv/movies/10554784/to-speak-her-mind,"LGBTQ+, Lesbian, Female Lead, Activism, Music, British Cinema","Atefeh Kheirabadi, Mehrad Sepahnia, Céline Ribard, Carla Villa Lobos, Sophie King, Raz Bdv","Raz Bdv, Savannah Power, Julia Araújo, Zaynab S. Akhtar, Atefeh Kheirabadi","Eoghan Synnott, Claire Tailyour, Cat White, Isabella Speaight, Atefeh Kheirabadi, Mehrad Sepahnia, Céline Ribard, Carla Villa Lobos, Raz Bdv","Kristine Luther Goldmann, Anna Elisabeth Emilie Disse, Anne Diedering, Matthew Jordan, Erin Elkin, Carol Dall Farra, Cat White, Isabella Speaight, Bar Ruso, Leila Rose Bari",https://www.imdb.com/title/tt27996535/
remembering-his-touch,Remembering His Touch,poster.png,"A grieving lover searches for answers beyond the beaches of New York, two betrayed strangers find comfort in their shared pain, and a teenage friendship stirs up hidden feelings, pushing the boundaries of their relationship. Discover 5 stories that question the fate of lost love and the longing for answers. When you fight to hold on to the past, is it ever truly worth it?",LGBTQ+; Drama,"United States, Singapore, Denmark",2023,66 min,https://www.youtube.com/watch?v=BpMsOedFBBo,Worldwide,Amazon Prime,PG-13,"English HOH, German",German,2027-06-20,https://e.pcloud.link/publink/show?code=XZhRcGZLifuUX5AlTHwOs7XMflq1JSkTuHX,2023-06-20,https://www.amazon.com/gp/video/detail/B0C6XDBBL5,https://tubitv.com/movies/100015253/remembering-his-touch,https://www.amazon.co.uk/gp/video/detail/B0C6XC5T6L,https://fawesome.tv/movies/10558400/remembering-his-touch,"LGBTQ+, Gay, Family, Missing Person, Dementia, Memory, American Cinema","Koo Chia Meng, Mario Galarreta, Gabriel Shanks, Marco Sandeman, Courtney Powell","Jessica Chermayeff, Tim Panduro, Nilan Johnson, Anders Osterballe, Xin'en Xu","Koo Chia Meng, Mario Galarreta, Gabriel Shanks, Marco Sandeman, Tate Nova","Nathanael Khoo, Chia Chee Pin, Jeremy Kahn, Stuart Klitsner, Nathaniel P. Claridad, Nicholas Michaels, Peder Holm Johansen, Mads Reuther, Ronald Peet, Frankie LaPace",https://www.imdb.com/title/tt28067411/
no-strings-attached,No Strings Attached,poster.png,"A popular TV star finds himself the subject of a local media scandal, a teenage boy has a moment of self-discovery on the rooftop of his high school, and a series of strangers disclose their most intimate secrets under the comfort of anonymity. Fleeting connections and hidden desires abound in this poignant collection of stories about the drama and passion that erupts behind closed doors.",LGBTQ+; Romance; Drama,"Ireland, Taiwan, Poland, Canada",2023,100 min,https://www.youtube.com/watch?v=-gSErgMJYjk,Worldwide,Amazon Prime,NC-17,"English HOH, German",German,28/07/2027,https://www.dropbox.com/scl/fi/546t3xyim2opz0olf25x7/NSA_poster2_1200x1600-Nathasha-Orlando-Kappler-Logo-Moved.png?rlkey=hnier2e9qa4nav3jor0wwfqax&st=s6tx5x7w&dl=0,2023-07-28,https://www.amazon.com/gp/video/detail/B0CGMHHKZ5,https://tubitv.com/movies/100018245/no-strings-attached,https://www.amazon.co.uk/gp/video/detail/B0CGMG7YD5,https://fawesome.tv/movies/10556375/no-strings-attached,"LGBTQ+, Gay, Disability, Relationships, Sexuality, Irish Cinema","Martin Edralin, Chung-Chieh Chiang, Wojciech Tubaja, Po-Cheng Teng, Nathan Fagan, Luke Daly","Seamus Waters, Kuanyu Chang, Jakub Fiebig, Chung-Chieh Chiang, Martin Edralin","Martin Edralin, Chung-Chieh Chiang, Wojciech Tubaja, Po-Cheng Teng, O, Nathan Fagan","Ken Harrower, Sebastian Deery, Siobhán Callaghan, Shaun Dunne, Chih-Hsuan Wu, Kuan-Ting Liu, Marcin Tyrol, Bartlomiej Firlet, Wen-Ting Wang, Yu-Cheng Pai",https://www.imdb.com/title/tt28608722/?ref_=nv_sr_srsg_4_tt_8_nm_0_in_0_q_No%20Strings%20Attached
her-dark-reflection,Her Dark Reflection,poster.png,"A grieving lover embarks on a dark journey through memory, a lonely cleaner develops an unhealthy fixation on her boss, and a young couple find themselves caught between a dangerous demonic entity and a fanatically religious mother. See your fears and desires reflected in this female-focused collection of strange and twisted tales.",LGBTQ+; Thriller; Drama; Horror,"United States, Canada, Greece, Australia",2023,83 min,https://www.youtube.com/watch?v=C6-cnMxFTLs,Worldwide,Amazon Prime,NC-17,"English, English HOH, German",German,2027-01-10,https://e.pcloud.link/publink/show?code=XZaRcGZdsUx40EwzdFQbTaaeKoXsHQW4g2y,2023-01-10,https://www.amazon.com/gp/video/detail/B0CH4WCKLC,https://tubitv.com/movies/100018073/her-dark-reflection,https://www.amazon.co.uk/gp/video/detail/B0CH4VWMQV,https://fawesome.tv/movies/10556676/her-dark-reflection,"LGBTQ+, Lesbian, Female Lead, Mental Illness, Grief, Religion, Abuse, Crime, American Cinema","Tara Elliott, Hannah Bisewski, Dimitris Zouras, Caitlin Soennichsen, Farhad Pakdel, Erin Good","Belinda Mravicic, Farhad Pakdel, Izrael Little, Dimitris Zouras, Chlöe Lawrence-Hartcher, Anthony James Faure","Hannah Bisewski, Erin Good, Dimitris Zouras, Caitlin Soennichsen, Farhad Pakdel, Huna Amweero","Ali Stoner, Teresa Avia Lim, Alex Cook, Rachael Chomik, Dimitra Syrou, Ioanna Trikene, Isabelle Carney, Paige Joustra, Lorraine Coulter, Nora Guerch, Charlotte Best, Shari Sebbens",https://www.imdb.com/title/tt29310845/?ref_=nv_sr_srsg_0_tt_7_nm_0_in_0_q_Her%20Dark%20Reflection
twin-flame,Twin Flame,poster.png,"A divisive painting brings out a couple’s conflicting opinions on romance, a pair of living dolls begin to think outside the box, and an unexpected reunion leads to a night of casual flirtation and quiet revelations. A stylish collection of female-focused stories of love and friendship, showing how two dazzling souls can burn brighter as one.",LGBTQ+; Drama,"Spain, France",2023,78 min,https://www.youtube.com/watch?v=ivUotSnUp1M,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"English, German",German,2026-01-10,https://e.pcloud.link/publink/show?code=XZpLcGZh6eY2Fk0xeS0BsoDq8BAv4qVa5C7,2023-01-10,https://www.amazon.com/gp/video/detail/B0CV5Y8LFC,https://tubitv.com/movies/100019711/twin-flame,https://www.amazon.co.uk/gp/video/detail/B0CV5ZG4SN,,"LGBTQ+, Lesbian, Female Lead, Art Gallery, Provocative, Dance, Spanish Cinema","Pepe Sapena, Miguel Guindos, Aitana Ahrens, Alice Fargier, Thibault Bru","Adela Mayo, Pepe Sapena; Sergio Milán, Thibault Bru, Flore Cavigneaux, Anxo Soilán","Belén Sevillano, Pepe Sapena, Ángel Gasco-Coloma, Jose Alcala, Alba Menor, Gema del Castillo, Marcos Solanilla, Alice Fargier, Thibault Bru","Loreto Santamaría - Lucía, Carolina Sobisch - Ana, Estrella Roez, Inés Córdoba, Cinta Ramírez - Mina, Alexandra Pino - Lucy, Salomé Richard - Nora, Natalie Beder - Camille, Léonie Simaga - Soraya, Andréa Bescond - Eva",https://www.imdb.com/title/tt31132495/
her-side-of-the-bed,Her Side of the Bed,poster.png,An intimate collection of female-focused stories about the drama that unfolds when a relationship reaches its turning point. Sometimes love fades and sometimes it stays in these five poignant tales.,LGBTQ+; Drama,"South Korea, Sri Lanka, Brazil, United Kingdom",2025,74 min,https://www.youtube.com/watch?v=lrfZzl7y7u4,All countries except those mentioned in Geo-Restrictions,05/09/2025 (Fawesome),PG-13,English,None,2028-09-05,https://www.dropbox.com/scl/fi/50s3ufbr9x2r4lr7qnyss/Her_Side_of_the_Bed_poster_1200X1800.psd?rlkey=8u844s6d8adr9ja52uq5e2jnp&st=915eh2ca&dl=0,2025-09-05,,,,https://fawesome.tv/movies/10721416/her-side-of-the-bed,"LGBTQ+, Lesbian, Female Lead, Heartwarming, Marriage, Breakup, South Korean Cinema","Suranga Handapangoda, Patrícia Sá, An Sun-you, Adolfo Vico, Heo Ha-yeon","Sun-you An, Heo Ha-yeon, Guilherme Severo, Mo Abdelkhalek, Yuganthi Yasodara","Suranga Handapangoda, Patrícia Sá, An Sun-you, Allie Moss, Heo Ha-yeon","Uma Aseni - Sumi, Dulanja Dilshan - Akash, Taty Godoi - Claudia, Adriana Lessa - Dani, Oh Ji-hoo - Soo-young, Lee Young-ah - Ji-woo, Katie Griffiths - Zara, MJ Lee - Kat",https://www.imdb.com/title/tt41944317/?ref_=nm_flmg_job_1_accord_1_cdt_c_1
tender-resistance,Tender Resistance,poster.png,"An anxious brother delays telling his sister the truth about his upcoming wedding, an uncle takes drastic measures to ""make a man"" out of his closeted nephew, and a young man reflects on his turbulent teen years and the experiences that pushed him to leave his hometown behind. A powerful collection of shorts about the quiet ways in which we learn to stand up to prejudice and doubt.",LGBTQ+; Drama,"Brazil, USA, UK, South Korea, Spain",2025,77 min,https://www.youtube.com/watch?v=rQPB4ClxQMQ,Worldwide,Amazon Prime,R,"English, French, German, Spanish","German, French, Spanish",2029-07-14,https://e.pcloud.link/publink/show?code=XZ6LcGZQEuiXwHdO3kXB8qDpvDyeyhpow8V,2025-07-14,https://www.amazon.com/gp/video/detail/B0FGJJ38MF,,https://www.amazon.co.uk/gp/video/detail/B0FGJFVPSH,,"LGBTQ+, Transgender Cinema, Social Resistance, Performance Art, Identity, Urban Survival, Radical Love, Afrofuturism, Provocative, Body Politics, Global Shorts","Jose Provencio, Taisia Deeva, Seung-jae Lee, Aleksei Borovikov, Anderson Bardot","Anderson Bardot,  Seung-jae Lee, Chris Sonnenschein, Jose Provencio, Anna Gasparyan","Aritz Kortabarria, Jose Provencio, Taisia Deeva, Seung-jae Lee, Jacob Mueller, Aleksei Borovikov, Anderson Bardot","Seo-han Lee, Aritz Kortabarria, Nikita Kochnev, Anton Paraskiva, Markus Konká",https://www.imdb.com/title/tt37764459/
girls-will-be,Girls Will Be,poster.png,"A whimsical high schooler harbors complicated feelings for her new religious teacher, a headstrong teen pursues her love of football despite her father’s objections, and a father takes one last trip with his daughter before she begins her new life as a student. A collection of stories about girls learning to make their own choices as they embrace the messiness of growing up.",Drama; Coming of Age,"France, Spain",2025,104 min,https://www.youtube.com/watch?v=i2jD_MLKY3o,All countries except those mentioned in Geo-Restrictions,Amazon Prime,PG-13,English,German,28/08/2028,https://www.dropbox.com/scl/fi/elb57ii71j264airs9h4o/GIRLS_WILL_BE_poster_1200x1600-No-Logo.png?rlkey=e7yo8h1tdj4kki9op20lzkx5i&st=iwa0n4a1&dl=0,2025-08-28,https://www.amazon.com/gp/video/detail/B0FNDTTNST,https://tubitv.com/movies/100051235/girls-will-be,https://www.amazon.co.uk/gp/video/detail/B0FNDV3F9B,https://fawesome.tv/movies/10743728/girls-will-be,"Female-Focused, Coming-of-Age, Sisterhood, Identity, Rebellion, Gender Roles, Youth, Social Pressure, Empowerment, Growing Up, Emotional Realism, Girlhood","César Tormo, Florence Bamba, Mathilde Profit, Lucie Prost, Louise Condemi","Ana Torrijo; Camila Escobar, Lucie Prost, Hugo Lagorce, Jeanne Ezvan; Marthe Lamy, Jeanne Ezvan","Alejandro Tortajada, Florence Bamba, Maxime Berthemy, Mathilde Profit, Lucie Prost, Louise Condemi","Ada Tormo, Assa Sylla, Luna Carpiaux, Léonie Souchaud, Capucine Valmary",https://www.imdb.com/title/tt41944659/
beyond-our-end,Beyond Our End,poster.png,"Two lovers in the midst of a breakup discuss which memories to keep and which to erase, a young couple finds their relationship tested when a national crisis forces them indoors together, and a Japanese citizen grapples with the demands of the immigration office so that she may stay with her wife in France. Delve into a broken future with 5 bittersweet tales of lost connections and new beginnings.",Science Fiction; Drama; LGBTQ+,"Israel, Canada, France, USA",2025,98 min,https://www.youtube.com/watch?v=qLOo0nUOGnU,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,"English, English HOH",English only,23/12/2028,https://e.pcloud.link/publink/show?code=XZS4cGZl9UT0HtIxXhitB0GD8K72h0HBFPk,2025-12-23,https://www.amazon.com/gp/video/detail/B0G6RLRV3V,,https://www.amazon.co.uk/gp/video/detail/B0G6R1PNLT,,"Sci-Fi, LGBTQ+, Gay, Dystopian, Technology, Memory Loss, Digital Intimacy, Future, Resilience, Isolation, Cyberpunk, Bittersweet, Short Film Collection","Jan Orszulak, Frédéric Rosset, Coralie Watanabe Prosper, Kryzz Gautier","Maciej Slesicki Bastien Daret, Garance Cosimano, Maya Butler","Jan Orszulak, Frédéric Rosset, Coralie Watanabe Prosper, Kryzz Gautier","Magdalena Walkiewicz, Allison Chassagne, Isaline Prévost Radeff, Wilder Yari, Jess Adams",https://www.imdb.com/title/tt41799319/?ref_=fn_t_2
split-decision,Split Decision,poster.png,"A psychologist's longing for family puts a strain on his current relationship, a priest wrestles with his own desires after catching his peers in a moment of intimacy, and a husband has a heated exchange with his wife, while his new partner waits quietly in the bedroom. A tender collection of stories of men torn between two worlds, as the feelings they once buried come rushing back to the surface.",Drama; LGBTQ+,"Belgium, France, Switzerland, Estonia, Portugal, UK, Israel, Uruguay, Canada",2025,85 min,https://www.youtube.com/watch?v=XQM_mdjd598,Worldwide,Amazon Prime,R,English,"German, French, Spanish",26/06/2029,https://www.dropbox.com/scl/fi/swdhv19iq7c1zp0spc0j3/POSTER-2.3.png?rlkey=tkdssecj13cift3wo9zz9q7hb&st=uieyi299&dl=0,2025-06-26,https://www.amazon.com/gp/video/detail/B0FCQQWDRG,,https://www.amazon.co.uk/gp/video/detail/B0FCQLS5PV,,"LGBTQ+, Gay Cinema, Drama, Anthology, Dilemma, Identity, Faith, Masculinity, Family Conflict, Coming-of-Age, Global Shorts, International Cinema, Emotional Realism","Roberth Mendoza, Eileen Tracey, Vincenzo Lamagna, Ludvig Christian Næsted Poulsen","Johely Mendoza, Roberth Mendoza, Jessica Palmarozza, Gelsomina Prositto, Julius Alsinger Plambech","Roberth Mendoza, Eileen Tracey, Dave Given, Ludvig Christian Næsted Poulsen","Santiago Cabrera, Alex Orellana, Liam Burke, Stuart Dunne, Gianluca Di Gennaro, Vittorio Nastri, Lasse Steen, Christoffer Hvidberg Rønje",https://www.imdb.com/title/tt38126902/
stolen-moments,Stolen Moments,poster.jpg,"A husband and father is haunted by the consequences of a one-night stand, a young man returns to his home town to reflect on the tragic events that he left to escape, and a student's holiday in Corsica proves an opportunity for friendship, reflection and self-discovery. An intimate collection of stories of fleeting encounters, private worlds and enduring memories both cherished and traumatic.",Drama; LGBTQ+,"Italy, France, Ireland, USA, UK",2025,87 min,https://www.youtube.com/watch?v=KZDuQySoeXQ,Worldwide,Amazon Prime,R,"English, English HOH",German,2029-09-16,https://e.pcloud.link/publink/show?code=XZG57vZofM7uS6KfHzEiVwqsUHIU5HMsXbk,2025-09-16,https://www.amazon.com/gp/video/detail/B0FNBL1NY8,,https://www.amazon.co.uk/gp/video/detail/B0FNBZGXTK,,"LGBTQ+, Gay, Romance, Drama, Nostalgia, Fleeting Encounters, Secret Love, Memories, Emotional, Bittersweet, Intimacy, Short Film Collection","Aurélien Rapatel, James Fitzgerald, Luca Bertossi, Zach Siegel, Tom Wright","Fabio Bertossi, Redtape Studio, Simon James Doyle, Kyle Smithers, Darius Shu","Luca Bertossim, Aurélien Rapatel, James Fitzgerald, Zach Siegel, Tom Wright","Robin Migné, Charlie Loiselier, Victor Meutelet, Diarmaid Murtagh, Tue Lunding, Michele Masci, Leonardo de Simone, Michael Sturgis, Patrick Reilly, Alex Britt",https://www.imdb.com/title/tt41946636/
before-the-dawn-breaks,Before the Dawn Breaks,poster.png,"A lonely mermaid tests the limits of her sea-bound nature, a troubled teen searches for a way out before her first day at a juvenile educational facility, and a rebellious secondary schooler struggles to keep control of her chaotic home life. A poignant collection of female-focused shorts about growing up, letting go and learning to accept what the new day might bring.",Drama; Coming of Age,"France, Norway",2023,95 min,https://www.youtube.com/watch?v=rV2qpKeXP8Y,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English,English only,2026-10-11,https://e.pcloud.link/publink/show?code=XZYNyvZLgaIcFx4DTLESWTCIHzee0ag0dlk,2023-10-11,https://www.amazon.com/gp/video/detail/B0CHHD693N,https://tubitv.com/movies/100015271/before-the-dawn-breaks,https://www.amazon.co.uk/gp/video/detail/B0CHH82NQL,https://fawesome.tv/movies/10556270/before-the-dawn-breaks,"Teens, Female Lead, Coming of Age, Family, Mermaid, Stop Motion, French Cinema","Stéphanie Doncker, Thibault Durand, Laurie Bost, Sébastien Savine, Ole Sebastian Kåss, Louis Faury","Céline Roubaud, Pascal Barbier, Sébastien Savine, Thibault Durand, Stéphanie Doncker","Stéphanie Doncker, Thibault Durand, Ole Sebastian Kåss, Louis Faury","Alice de Lencquesaing - Claire, Capucine Valmary - Stella, Olivier Hémon - Le vieil homme, Aurélia Poirier - Léna, Matthieu Lucci, Léonie Dahan-Lamort - Louise, Herbert Nordrum - Lasse, Emily Glaister - Siri, Victor Bonnel - Léon, Mélodie Adda - Nour",https://www.imdb.com/title/tt41947921/
no-place-to-hide,No Place to Hide,poster.png,"A devoted partner seeks dignity for his late transgender love, a fugitive in Paris attempts to outrun his past, and another searches for clarity as he navigates identity and desire. From unexpected rooftop encounters to a celestial game of chess, this compelling collection of shorts explores truth, acceptance and the moment we realise there is truly No Place to Hide.",LGBTQ+; Drama,"France, United Kingdom",2025,107 min,https://www.youtube.com/watch?v=Hb4UsVW0uIU,All countries except those mentioned in Geo-Restrictions,Amazon Prime,R,English,French,2030-03-09,https://e.pcloud.link/publink/show?code=XZe4cGZGwkvKTgTpI5CSGn0cfTREYLHkFUk,2026-03-09,https://www.amazon.com/gp/video/detail/B0GPF7TVVQ,,https://www.amazon.co.uk/gp/video/detail/B0GPFW6GGG,,"LGBTQ+, Gay, Transgender, Drama, Fugitive, Identity, Dignity, Truth, Acceptance, Gritty, Tension, Emotional Realism, Short Film Collection","Paulin·e Goasmat, Lucien Burckel de Tell, Sarah Al Atassi, David Chausse, Piotr Szkopiak","Piotr Szkopiakm, Quentin Daniel, Marie Enthoven, Hakim Atoui, Lucien Burckel de Tell","Paulin·e Goasmat, Lucien Burckel de Tell, Sarah Al Atassi, David Chausse, Adrian Darko, Tommaso Genoves","Sohan Pague, Thibault Servière, Aïmen Derriachi, Yuming Hey, Adrian Darko, Tommaso Genovesi",https://www.imdb.com/title/tt41868813/
where-we-begin,Where We Begin,poster.png,"An old photo sparks the memory of a romance now past, a fairy tale book proves the key to understanding a classmate's inner world, and a brief exchange of gazes hints at something deeper between two teens prepping for a night out. A dazzling collection of female-focused stories about the fleeting moments of youth that linger on as bittersweet recollections.",LGBTQ+; Coming of Age,"Korea, Spain, China, United States",2025,68 min,https://www.youtube.com/watch?v=oRVRvQL8CQ4,All countries except those mentioned in Geo-Restrictions,Amazon Prime,U/PG,"English, German",German,2028-08-04,https://drive.google.com/file/d/1o1J-q1AxcF3YZn-gZu5sBnacpWCmJp9X/view?usp=sharing,2025-08-04,https://www.amazon.com/gp/video/detail/B0FJZ74PVD,,https://www.amazon.co.uk/gp/video/detail/B0FJZHH4JB,https://fawesome.tv/movies/10742607/where-we-begin,"Lesbian, High School, Crush, Teens, Women, Queer, Environment, Coming of Age, Homophobia, Relationship, Memories, Breakups, New Beginnings, Leaving, Teenagers","Guk-hee, Han Huang, Seung Jae Lee, Raquel Maral, Paloma Lopez","Kang Mi-rim, Soo Yeon Kim, Han Huang, Raquel Maral, Natalie Herman","Kim Guk-hee, Seung Jae Lee, Quilez Carlota, Raquel Maral, Paloma Lopez","Kim Ha-eun, Yang Seul, Maria Claudia, Paula Losada, Seo Han Lee, Min Yeong Kang, Laura Candil, Mariana Fernández, Maya Delmont, Amber Wynne-Jones",https://www.imdb.com/title/tt42205217/?ref_=nm_flmg_job_1_accord_2_cdt_c_3
